Trading code,LTP,Change %,High,Low,Close,YCP,Change,Trade,Value,Volume
OAL,8.9,-1.11,9.1,8.9,8.9,9.0,-0.1,98,3.13,349757
OIMEX,27.7,-2.12,28.4,27.5,27.7,28.3,-0.6,246,13.97,499637
OLYMPIC,147.0,0.2,147.8,145.8,147.0,146.7,0.3,82,0.85,5817
ONEBANKPLC,8.8,0.0,8.9,8.7,8.8,8.8,0.0,98,7.37,837530
ORIONINFU,381.9,-2.25,391.7,379.9,381.9,390.7,-8.8,2300,125.3,326194
ORIONPHARM,31.1,-2.51,31.8,31.0,31.1,31.9,-0.8,465,10.41,333832
ORYZAAGRO,13.5,-2.17,13.9,13.5,13.5,13.8,-0.3,19,0.25,18211
PADMALIFE,19.9,-0.5,21.0,19.6,19.9,20.0,-0.1,92,1.67,81846
PADMAOIL,182.0,-0.27,183.0,180.2,182.0,182.5,-0.5,254,5.97,32766
PAPERPROC,92.7,-1.9,94.7,92.2,92.7,94.5,-1.8,941,20.48,219263
PARAMOUNT,36.8,-0.27,37.1,36.7,36.8,36.9,-0.1,36,0.3,8225
PDL,7.6,-1.3,7.8,7.6,7.6,7.7,-0.1,67,1.01,131730
PENINSULA,12.6,-2.33,13.0,12.4,12.6,12.9,-0.3,216,2.1,167061
PEOPLESINS,28.4,-0.7,28.6,28.4,28.4,28.6,-0.2,30,0.63,22045
PF1STMF,5.2,0.0,5.2,5.2,5.2,5.2,0.0,1,0.0,1
PHARMAID,549.0,2.69,556.7,533.8,549.0,534.6,14.4,812,14.93,27415
PHENIXINS,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0,0.0,0
PHOENIXFIN,4.1,-2.38,4.3,4.1,4.1,4.2,-0.1,37,0.25,59635
PHPMF1,3.1,3.33,3.1,3.0,3.1,3.0,0.1,25,0.22,73360
PIONEERINS,45.1,0.22,45.5,44.9,45.1,45.0,0.1,83,0.82,18181
PLFSL,2.4,0.0,2.5,2.4,2.4,2.4,0.0,29,0.22,91683
POPULAR1MF,3.0,-3.23,3.1,3.0,3.0,3.1,-0.1,22,0.51,165915
POPULARLIF,49.8,-0.8,50.7,49.8,49.8,50.2,-0.4,133,2.73,54508
POWERGRID,34.5,-0.86,35.0,34.2,34.5,34.8,-0.3,198,2.35,68252
PRAGATIINS,52.3,-0.76,56.4,52.3,52.3,52.7,-0.4,60,2.65,48339
PRAGATILIF,108.9,0.18,110.6,107.1,108.9,108.7,0.2,158,2.06,18956
PREMIERBAN,9.0,0.0,9.1,8.9,9.0,9.0,0.0,52,1.9,211197
PREMIERCEM,46.0,0.22,46.6,45.9,46.0,45.9,0.1,33,0.22,4670
PREMIERLEA,3.4,-2.86,3.5,3.4,3.4,3.5,-0.1,9,0.04,11536
PRIME1ICBA,4.5,-2.17,4.5,4.4,4.5,4.6,-0.1,17,0.24,52851
PRIMEBANK,24.8,0.0,24.9,24.6,24.8,24.8,0.0,27,0.52,20847
PRIMEFIN,4.6,0.0,4.6,4.5,4.6,4.6,0.0,5,0.12,25601
PRIMEINSUR,32.3,-0.31,32.6,32.3,32.3,32.4,-0.1,24,0.13,4019
PRIMELIFE,33.5,1.52,34.4,32.5,33.5,33.0,0.5,44,0.57,17341
PRIMETEX,15.7,2.61,16.0,15.2,15.7,15.3,0.4,114,1.42,91278
